Year,Total Emissions,Raw Emissions
1938,12825674000.0,12825674000.0
1939,13135476000.0,13135476000.0
1940,13751442000.0,13751442000.0
1941,14103380000.0,14103380000.0
1942,14202137000.0,14202137000.0
1943,14390599000.0,14390599000.0
1944,14578738000.0,14578738000.0
1945,13722967000.0,13722967000.0
1946,14268745000.0,14268745000.0
1947,14906980000.0,14906980000.0
1948,15226736000.0,15226736000.0
1949,15026065000.0,15026065000.0
1950,16518558000.0,16518558000.0
1951,17182996000.0,17182996000.0
1952,17512944000.0,17512944000.0
1953,17921840000.0,17921840000.0
1954,18347560000.0,18347560000.0
1955,19424780000.0,19424780000.0
1956,20259162000.0,20259162000.0
1957,20843647000.0,20843647000.0
1958,21430596000.0,21430596000.0
1959,22495564000.0,22495564000.0
1960,22241257000.0,22241257000.0
1961,22089169000.0,22089169000.0
1962,22074149000.0,22074149000.0
1963,22567942000.0,22567942000.0
1964,23124173000.0,23124173000.0
1965,23284281000.0,23284281000.0
1966,23919491000.0,23919491000.0
1967,24546589000.0,24546589000.0
1968,25414290000.0,25414290000.0
1969,26168248000.0,26168248000.0
1970,27678093000.0,27678093000.0
1971,27973145000.0,27973145000.0
1972,28860512000.0,28860512000.0
1973,29781780000.0,29781780000.0
1974,29661096000.0,29661096000.0
1975,29953851000.0,29953851000.0
1976,31029883000.0,31029883000.0
1977,31667313000.0,31667313000.0
1978,32180140000.0,32180140000.0
1979,32726802000.0,32726802000.0
1980,32772480000.0,32772480000.0
1981,32381600000.0,32381600000.0
1982,32422953000.0,32422953000.0
1983,33095197000.0,33095197000.0
1984,34678497000.0,34678497000.0
1985,34983390000.0,34983390000.0
1986,35555512000.0,35555512000.0
1987,36011790000.0,36011790000.0
1988,36731760000.0,36731760000.0
1989,37153382000.0,37153382000.0
1990,37516460000.0,37516460000.0
1991,37731800000.0,37731800000.0
1992,37343780000.0,37343780000.0
1993,37482815000.0,37482815000.0
1994,38449540000.0,38449540000.0
1995,38955393000.0,38955393000.0
1996,40121110000.0,40121110000.0
1997,41700073000.0,41700073000.0
1998,40227897000.0,40227897000.0
1999,40598712000.0,40598712000.0
2000,40769343000.0,40769343000.0
2001,40613487000.0,40613487000.0
2002,41546547000.0,41546547000.0
2003,43607010000.0,43607010000.0
2004,44334810000.0,44334810000.0
2005,44948046000.0,44948046000.0
2006,46468944000.0,46468944000.0
2007,46781616000.0,46781616000.0
2008,47579288000.0,47579288000.0
2009,47492130000.0,47492130000.0
2010,49423570000.0,49423570000.0
2011,50941330000.0,50941330000.0
2012,51705320000.0,51705320000.0
2013,51460150000.0,51460150000.0
2014,52163658000.0,52163658000.0
2015,52559155000.0,52559155000.0
2016,51550380000.0,51550380000.0
2017,52249436000.0,52249436000.0
2018,52820017000.0,52820017000.0
2019,53455053000.0,53455053000.0
2020,51458240000.0,51458240000.0
2021,53446540000.0,53446540000.0
2022,53851160000.0,53851160000.0
2023,53302867717.03315,52922691724.13793
2024,53583800753.77169,51994223448.27586
2025,51029389765.54173,51065755172.413795
2026,51696610199.64245,50137286896.55173
2027,46646330428.586174,49208818620.68966
2028,49069120760.58337,48280350344.82759
2029,47433813641.51054,47351882068.96552
2030,46147496554.55126,46423413793.103455
2031,45577926796.56124,45494945517.24139
2032,42805756829.407364,44566477241.37932
2033,43447463198.16362,43638008965.51725
2034,43012713281.48562,42709540689.65518
2035,43008462973.77844,41781072413.79311
2036,40431745838.762634,40852604137.931046
2037,39282524554.2638,39924135862.06898
2038,38606739117.23658,38995667586.20691
2039,38759863499.876915,38067199310.34484
2040,37381422321.38777,37138731034.48277
2041,35828959160.61016,36210262758.620705
2042,35641754506.30888,35281794482.75864
2043,34419616126.79936,34353326206.89657
2044,34068425429.848034,33424857931.0345
2045,32042902523.586876,32496389655.172432
2046,31362317097.4156,31567921379.310364
2047,30400646254.33932,30639453103.448296
2048,28846665734.556698,29710984827.586227
2049,28951933481.374195,28782516551.72416
2050,27998585825.91992,27854048275.86209
2051,26928316777.820854,26925580000.000023
2052,25875887563.573532,25997111724.137955
2053,24363364462.741055,25068643448.275887
2054,23938330924.24744,24140175172.41382
2055,23053582283.788074,23211706896.55175
2056,21927883404.173008,22283238620.689682
2057,21286308169.12766,21354770344.827614
2058,20590355636.371883,20426302068.965546
2059,20228856311.004253,19497833793.103477
2060,18633804104.39185,18569365517.24141
2061,17731208684.039555,17640897241.37934
2062,16687698041.249468,16712428965.517273
2063,15181957098.550436,15783960689.655205
2064,14847663163.804876,14855492413.793137
2065,13943697861.682463,13927024137.931068
2066,13635002654.90194,12998555862.069
2067,12023935932.76936,12070087586.206932
2068,11208401970.926132,11141619310.344864
2069,10206104162.096449,10213151034.482796
2070,9068996812.175482,9284682758.620728
2071,8546037283.555847,8356214482.758658
2072,7538764901.591211,7427746206.896589
2073,6601470432.366837,6499277931.03452
2074,5470110187.452998,5570809655.172451
2075,4771788074.15824,4642341379.310382
2076,3610385380.21891,3713873103.4483128
2077,2817897136.9212184,2785404827.5862436
2078,1937788673.4533505,1856936551.7241745
2079,910187384.2994142,928468275.8621055
2080,3.6067426247743446e-05,3.647804260253906e-05
2081,0.0,0.0
2082,0.0,0.0
2083,0.0,0.0
2084,0.0,0.0
2085,0.0,0.0
2086,0.0,0.0
2087,0.0,0.0
2088,0.0,0.0
2089,0.0,0.0
2090,0.0,0.0
2091,0.0,0.0
2092,0.0,0.0
2093,0.0,0.0
2094,0.0,0.0
2095,0.0,0.0
2096,0.0,0.0
2097,0.0,0.0
2098,0.0,0.0
2099,0.0,0.0
2100,0.0,0.0
